Eb,value
0.00000000,-14.55641000
0.00000000,-14.55641000
0.00000000,-8.55641000
0.00000000,-8.55641000
0.00000000,6.72179500
0.00000000,6.72179500
40.00000000,-114.55641000
40.00000000,-34.55641000
40.00000000,51.44359000
40.00000000,91.44359000
40.00000000,26.72179500
40.00000000,-53.27820500
